lsoa21cd,domain_supermarket_proximity,domain_supermarket_accessibility,domain_ecommerce_access,domain_socio_demographic,domain_nonsupermarket_proximity,domain_food_for_families,domain_fuel_poverty,country,country_denominator,combined,pp_dec_domain_supermarket_proximity,pp_dec_domain_supermarket_accessibility,pp_dec_domain_ecommerce_access,pp_dec_domain_socio_demographic,pp_dec_domain_nonsupermarket_proximity,pp_dec_domain_food_for_families,pp_dec_domain_fuel_poverty,pp_dec_combined
S01008975,6286,5440.0,582.0,1564,3651,4789,6131.0,S,6976,5048,10,8.0,1.0,3,6,7,9.0,8
S01008976,5738,4310.0,5923.0,6089,3702,4531,5438.0,S,6976,6107,9,7.0,9.0,9,6,7,8.0,9
S01008977,5683,4060.0,5923.0,6358,3516,4807,5438.0,S,6976,6261,9,6.0,9.0,10,6,7,8.0,9
S01008978,3294,2849.0,5286.0,4594,3413,4699,5764.0,S,6976,4548,5,5.0,8.0,7,5,7,9.0,7
S01008979,2635,2821.0,6165.0,3596,3282,4458,4892.0,S,6976,3923,4,5.0,9.0,6,5,7,8.0,6
S01008980,3577,3510.0,5286.0,2843,3843,4198,5200.0,S,6976,3669,6,6.0,8.0,5,6,7,8.0,6
S01008981,5442,3836.0,4971.0,5540,3895,4296,5438.0,S,6976,5340,8,6.0,8.0,8,6,7,8.0,8
S01008982,4321,3809.0,5286.0,3542,3855,3809,4680.0,S,6976,3742,7,6.0,8.0,6,6,6,7.0,6
S01008983,5493,2968.0,6165.0,2757,3915,3139,3340.0,S,6976,3655,8,5.0,9.0,4,6,5,5.0,6
S01008984,4800,2750.0,5286.0,3060,3975,3711,5272.0,S,6976,3845,7,4.0,8.0,5,6,6,8.0,6
S01008985,5564,3807.0,5286.0,3585,4126,3860,5624.0,S,6976,4822,8,6.0,8.0,6,6,6,9.0,7
S01008986,5618,4176.0,5101.0,5434,4079,4403,5438.0,S,6976,5514,9,6.0,8.0,8,6,7,8.0,8
S01008987,6081,4504.0,5101.0,5802,3811,4544,6907.0,S,6976,6751,9,7.0,8.0,9,6,7,10.0,10
S01008988,6724,4434.0,5286.0,3714,3280,4978,6178.0,S,6976,6211,10,7.0,8.0,6,5,8,9.0,9
S01008989,5462,3000.0,6165.0,5033,2758,4472,6677.0,S,6976,6228,8,5.0,9.0,8,4,7,10.0,9
S01008990,5882,2957.0,6165.0,4184,2685,4480,6280.0,S,6976,5787,9,5.0,9.0,6,4,7,10.0,9
S01008991,6427,3565.0,6165.0,4935,3134,4933,6699.0,S,6976,6595,10,6.0,9.0,8,5,8,10.0,10
S01008992,6151,4137.0,5101.0,3239,2808,4892,5858.0,S,6976,5310,9,6.0,8.0,5,5,8,9.0,8
S01008993,2911,3788.0,5286.0,4985,2149,5949,6362.0,S,6976,5726,5,6.0,8.0,8,4,9,10.0,9
S01008994,814,1767.0,3159.0,3299,166,6332,3859.0,S,6976,2419,2,3.0,5.0,5,1,10,6.0,4
S01008995,959,1998.0,6165.0,6206,165,6341,6343.0,S,6976,6226,2,3.0,9.0,9,1,10,10.0,9
S01008996,1081,2949.0,3159.0,3332,1874,6237,4686.0,S,6976,3201,2,5.0,5.0,5,3,9,7.0,5
S01008997,1144,1657.0,5286.0,4351,2293,5970,5800.0,S,6976,4524,2,3.0,8.0,7,4,9,9.0,7
S01008998,1347,1554.0,2081.0,1931,2430,5987,2330.0,S,6976,1245,2,3.0,3.0,3,4,9,4.0,2
S01008999,1422,1883.0,2081.0,2985,2421,6061,5084.0,S,6976,2790,3,3.0,3.0,5,4,9,8.0,4
S01009000,1525,1804.0,4744.0,5451,2259,6334,6427.0,S,6976,5740,3,3.0,7.0,8,4,10,10.0,9
S01009001,1498,1929.0,4744.0,5063,2433,6016,5438.0,S,6976,4527,3,3.0,7.0,8,4,9,8.0,7
S01009002,2843,2322.0,5696.0,4768,2062,6319,5729.0,S,6976,5391,5,4.0,9.0,7,3,10,9.0,8
S01009003,3362,4475.0,5696.0,4942,3036,6196,6300.0,S,6976,6130,5,7.0,9.0,8,5,9,10.0,9
S01009004,3504,5815.0,4579.0,4542,2628,6340,5905.0,S,6976,5956,6,9.0,7.0,7,4,10,9.0,9
S01009005,4679,5939.0,4579.0,4251,3035,6337,5888.0,S,6976,6117,7,9.0,7.0,7,5,10,9.0,9
S01009006,4564,6005.0,2081.0,3865,3458,6268,5310.0,S,6976,5484,7,9.0,3.0,6,5,9,8.0,8
S01009007,3870,5035.0,2081.0,3482,3284,6262,4861.0,S,6976,4601,6,8.0,3.0,5,5,9,7.0,7
S01009008,4251,5802.0,4744.0,4620,3135,6176,5917.0,S,6976,6025,7,9.0,7.0,7,5,9,9.0,9
S01009009,3585,4755.0,205.0,1087,2693,6110,3514.0,S,6976,2606,6,7.0,1.0,2,4,9,6.0,4
S01009010,3803,4128.0,5696.0,5583,2592,6197,6254.0,S,6976,6247,6,6.0,9.0,9,4,9,9.0,9
S01009011,4532,2882.0,5696.0,6822,2649,6280,6782.0,S,6976,6909,7,5.0,9.0,10,4,10,10.0,10
S01009012,3485,3289.0,5696.0,6748,1799,6256,6818.0,S,6976,6866,5,5.0,9.0,10,3,9,10.0,10
S01009013,2583,3067.0,4744.0,6597,1676,6193,6630.0,S,6976,6523,4,5.0,7.0,10,3,9,10.0,10
S01009014,1,6941.0,569.0,3134,797,6967,3.0,S,6976,5942,1,10.0,1.0,5,2,10,1.0,9
S01009015,2,4853.0,563.0,4258,355,6964,31.0,S,6976,4440,1,7.0,1.0,7,1,10,1.0,7
S01009016,3,3863.0,563.0,3288,291,6955,87.0,S,6976,3739,1,6.0,1.0,5,1,10,1.0,6
S01009017,5,6252.0,202.0,3352,407,6946,9.0,S,6976,4722,1,9.0,1.0,5,1,10,1.0,7
S01009018,6,1921.0,569.0,4374,203,6761,56.0,S,6976,2405,1,3.0,1.0,7,1,10,1.0,4
S01009019,7,4771.0,569.0,4335,212,6449,32.0,S,6976,2247,1,7.0,1.0,7,1,10,1.0,4
S01009020,8,5550.0,1221.0,4199,336,4922,15.0,S,6976,1165,1,8.0,2.0,7,1,8,1.0,2
S01009021,11,728.0,569.0,4512,208,6736,86.0,S,6976,2170,1,2.0,1.0,7,1,10,1.0,4
S01009022,17,1780.0,1269.0,3834,184,6819,94.0,S,6976,2520,1,3.0,2.0,6,1,10,1.0,4
S01009023,39,33.0,1269.0,3786,190,6957,62.0,S,6976,3253,1,1.0,2.0,6,1,10,1.0,5
S01009024,63,87.0,1.0,3378,206,6949,10.0,S,6976,2831,1,1.0,1.0,5,1,10,1.0,5
S01009025,245,296.0,1400.0,3649,7,6580,111.0,S,6976,1376,1,1.0,3.0,6,1,10,1.0,2
S01009026,731,3129.0,1400.0,4047,145,5276,66.0,S,6976,672,2,5.0,3.0,6,1,8,1.0,1
S01009027,97,30.0,1269.0,3921,131,6827,123.0,S,6976,2335,1,1.0,2.0,6,1,10,1.0,4
S01009028,162,105.0,1269.0,3791,5,6548,149.0,S,6976,1295,1,1.0,2.0,6,1,10,1.0,2
S01009029,145,69.0,1269.0,3665,139,5680,92.0,S,6976,385,1,1.0,2.0,6,1,9,1.0,1
S01009030,185,171.0,1269.0,3697,115,6022,54.0,S,6976,608,1,1.0,2.0,6,1,9,1.0,1
S01009031,174,234.0,1269.0,3597,137,6115,50.0,S,6976,666,1,1.0,2.0,6,1,9,1.0,1
S01009032,107,56.0,1269.0,3486,209,6791,96.0,S,6976,1978,1,1.0,2.0,5,1,10,1.0,3
S01009033,90,26.0,1269.0,3235,126,6909,85.0,S,6976,2599,1,1.0,2.0,5,1,10,1.0,4
S01009034,286,303.0,1269.0,4533,185,6747,112.0,S,6976,2310,1,1.0,2.0,7,1,10,1.0,4
S01009035,592,3218.0,1400.0,4811,189,6546,33.0,S,6976,2428,1,5.0,3.0,7,1,10,1.0,4
S01009036,1016,5322.0,1449.0,4603,107,6184,40.0,S,6976,2466,2,8.0,3.0,7,1,9,1.0,4
S01009037,1309,6202.0,1449.0,4169,120,5718,38.0,S,6976,2434,2,9.0,3.0,6,1,9,1.0,4
S01009038,2812,6427.0,1222.0,4134,354,4917,13.0,S,6976,2402,5,10.0,2.0,6,1,8,1.0,4
S01009039,2186,6833.0,1222.0,1943,661,4592,2.0,S,6976,2387,4,10.0,2.0,3,1,7,1.0,4
S01009040,3299,6955.0,1222.0,2005,908,3636,24.0,S,6976,2969,5,10.0,2.0,3,2,6,1.0,5
S01009041,5081,6972.0,1400.0,1634,1049,1765,14.0,S,6976,3140,8,10.0,3.0,3,2,3,1.0,5
S01009042,3462,6871.0,1222.0,3151,468,3923,7.0,S,6976,2842,5,10.0,2.0,5,1,6,1.0,5
S01009043,3533,6920.0,1222.0,3354,958,3446,5.0,S,6976,3108,6,10.0,2.0,5,2,5,1.0,5
S01009044,3450,6884.0,1222.0,2651,940,3414,19.0,S,6976,2621,5,10.0,2.0,4,2,5,1.0,4
S01009045,2260,6749.0,1400.0,3866,576,4479,37.0,S,6976,2649,4,10.0,3.0,6,1,7,1.0,4
S01009046,1538,6421.0,1449.0,4084,164,5452,21.0,S,6976,2487,3,10.0,3.0,6,1,8,1.0,4
S01009047,645,3442.0,1400.0,4228,135,6530,39.0,S,6976,2159,1,5.0,3.0,7,1,10,1.0,4
S01009048,591,2614.0,1614.0,4727,159,6551,82.0,S,6976,2296,1,4.0,3.0,7,1,10,1.0,4
S01009049,341,828.0,1400.0,4401,8,6702,71.0,S,6976,2154,1,2.0,3.0,7,1,10,1.0,4
S01009050,1777,3027.0,5101.0,3949,2913,4561,5203.0,S,6976,3345,3,5.0,8.0,6,5,7,8.0,5
S01009051,2255,2706.0,3159.0,3635,3953,4731,3245.0,S,6976,2019,4,4.0,5.0,6,6,7,5.0,3
S01009052,2637,3555.0,3159.0,3698,4891,4749,4616.0,S,6976,3261,4,6.0,5.0,6,8,7,7.0,5
S01009053,3432,2686.0,582.0,382,5178,4808,1872.0,S,6976,1139,5,4.0,1.0,1,8,7,3.0,2
S01009054,2445,2681.0,3159.0,3358,4348,4758,3343.0,S,6976,2147,4,4.0,5.0,5,7,7,5.0,4
S01009055,1657,1378.0,5101.0,5650,2991,4727,5105.0,S,6976,4032,3,2.0,8.0,9,5,7,8.0,6
S01009056,4350,3968.0,3159.0,2574,5396,4740,2121.0,S,6976,2833,7,6.0,5.0,4,8,7,4.0,5
S01009057,4683,4718.0,3159.0,950,5240,4177,2761.0,S,6976,2636,7,7.0,5.0,2,8,6,4.0,4
S01009058,4291,4185.0,3159.0,2401,5151,4154,3518.0,S,6976,2840,7,6.0,5.0,4,8,6,6.0,5
S01009059,5459,2937.0,5286.0,4078,5117,4025,3888.0,S,6976,4336,8,5.0,8.0,6,8,6,6.0,7
S01009060,4619,2721.0,6165.0,6907,4286,3886,3623.0,S,6976,6282,7,4.0,9.0,10,7,6,6.0,10
S01009061,3939,1833.0,3159.0,3842,4469,4125,4348.0,S,6976,2653,6,3.0,5.0,6,7,6,7.0,4
S01009062,4574,1863.0,582.0,1913,5219,4424,3135.0,S,6976,1787,7,3.0,1.0,3,8,7,5.0,3
S01009063,4167,2083.0,5286.0,5098,4831,4376,5392.0,S,6976,4811,6,3.0,8.0,8,7,7,8.0,7
S01009064,4656,2335.0,3159.0,2926,4870,4118,3211.0,S,6976,2410,7,4.0,5.0,5,7,6,5.0,4
S01009065,5678,2466.0,3159.0,1265,5089,4078,1693.0,S,6976,2184,9,4.0,5.0,2,8,6,3.0,4
S01009066,5625,3176.0,3159.0,2624,5326,4115,3290.0,S,6976,3237,9,5.0,5.0,4,8,6,5.0,5
